City,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
Others,84.0,,,4.0,,,Have certificate,,8.6
Others,60.0,,,5.0,,,,,7.5
Others,90.0,6.0,13.0,5.0,,,Sale contract,,8.9
Ho Chi Minh City,54.0,,3.5,2.0,2.0,3.0,Have certificate,Full,5.35
Ho Chi Minh City,92.0,,,2.0,4.0,4.0,Have certificate,Full,6.9
Others,91.0,7.0,13.0,,,,Have certificate,,9.8
Others,64.0,4.0,,5.0,,,,,7.2
Hanoi,74.0,5.0,18.0,5.0,4.0,5.0,Have certificate,,9.9
Others,48.0,,,5.0,6.0,,,Basic,5.7
Others,91.0,7.0,,5.0,,,Have certificate,,9.5
Others,80.0,5.0,13.0,5.0,6.0,6.0,Have certificate,,10.0
Others,70.0,6.0,13.0,5.0,6.0,,,,9.8
Others,60.0,,,5.0,,,,,8.9
Others,91.0,,,,,,Have certificate,,8.6
Others,96.0,6.0,13.0,4.0,,,Sale contract,,9.6
Ho Chi Minh City,30.0,,,2.0,2.0,2.0,Have certificate,Full,3.79
Others,300.0,15.0,32.0,3.0,6.0,3.0,Have certificate,Full,9.4
Others,91.0,7.0,17.0,,,,,Basic,10.0
Others,65.0,5.0,20.0,5.0,5.0,4.0,Sale contract,,7.8
Ho Chi Minh City,46.0,4.6,6.0,4.0,4.0,5.0,Have certificate,Full,7.99
Others,75.0,5.0,13.0,5.0,7.0,5.0,Sale contract,,8.7
Others,100.0,,,3.0,3.0,3.0,,,3.3
Others,84.0,6.0,,5.0,,,,,9.45
Ho Chi Minh City,60.0,3.5,5.0,2.0,6.0,5.0,Have certificate,Full,5.6
Others,369.0,15.0,12.0,2.0,4.0,4.0,Have certificate,Full,6.3
Others,75.0,5.0,13.0,,,,Have certificate,,7.7
Ho Chi Minh City,55.0,5.0,,2.0,4.0,,Have certificate,Basic,3.25
Others,78.0,6.0,,5.0,,,Have certificate,,9.59
Ho Chi Minh City,67.4,4.0,8.0,5.0,4.0,6.0,Have certificate,Basic,9.5
Ho Chi Minh City,28.0,,3.0,2.0,2.0,2.0,Have certificate,Full,3.88
Others,150.0,,,2.0,7.0,,Have certificate,,6.7
Hanoi,72.0,5.6,3.5,1.0,,,Have certificate,Basic,10.0
Others,78.0,6.0,13.0,4.0,6.0,6.0,Have certificate,Basic,8.63
Ho Chi Minh City,68.0,,,3.0,4.0,6.0,Have certificate,,6.5
Ho Chi Minh City,43.0,,4.0,3.0,3.0,3.0,Have certificate,Full,5.85
Hanoi,32.8,4.5,6.0,5.0,,,Have certificate,,7.5
Others,168.0,,,2.0,4.0,4.0,,,5.2
Others,72.0,17.0,36.0,2.0,2.0,2.0,Have certificate,,2.0
Others,70.0,5.0,13.0,5.0,6.0,4.0,Sale contract,,8.5
Others,75.0,5.0,13.0,5.0,5.0,4.0,Sale contract,,8.1
Others,80.0,5.0,,5.0,,,Sale contract,,9.0
Hanoi,378.0,,,2.0,3.0,3.0,Have certificate,Full,7.8
Others,88.0,5.5,11.5,5.0,4.0,4.0,Have certificate,,6.5
Hanoi,54.0,5.8,3.0,4.0,6.0,6.0,Have certificate,Full,8.8
Hanoi,36.0,3.8,2.2,5.0,,,Have certificate,Basic,3.85
Hanoi,41.0,,3.5,5.0,4.0,4.0,Have certificate,Full,10.0
Hanoi,35.0,,,4.0,3.0,3.0,Have certificate,Basic,2.9
Ho Chi Minh City,46.0,,30.0,,1.0,1.0,Sale contract,Basic,4.3
Others,180.0,10.0,,4.0,3.0,3.0,Have certificate,Full,5.3
Hanoi,38.0,,,3.0,3.0,3.0,Have certificate,Full,2.1
Ho Chi Minh City,45.0,5.0,6.0,3.0,3.0,4.0,Have certificate,,5.95
Others,90.0,6.0,,2.0,4.0,3.0,Sale contract,,3.2
Others,88.0,5.5,17.0,5.0,4.0,4.0,Sale contract,,6.6
Others,85.0,,,,4.0,5.0,Have certificate,,5.9
Ho Chi Minh City,143.9,,,4.0,4.0,5.0,,,9.5
Hanoi,81.3,,,5.0,,,,,9.7
Others,88.0,,,4.0,,,Sale contract,,6.7
Ho Chi Minh City,38.0,,,2.0,1.0,1.0,,,4.1
Ho Chi Minh City,40.0,4.1,6.0,4.0,3.0,4.0,Have certificate,,7.7
Ho Chi Minh City,113.0,,,,,,Have certificate,,6.2
Others,150.0,5.0,29.0,2.0,,,Sale contract,,4.9
Ho Chi Minh City,69.1,4.0,4.5,3.0,3.0,4.0,Have certificate,Full,10.0
Ho Chi Minh City,100.0,5.0,,3.0,5.0,3.0,,,8.1
Ho Chi Minh City,30.0,,6.0,3.0,,,Have certificate,Full,7.15
Others,85.0,,,3.0,4.0,4.0,Have certificate,,5.9
Others,54.0,,,,,,,,8.15
Hanoi,52.7,7.0,3.0,5.0,6.0,,,Full,7.6
Hanoi,73.0,5.0,,4.0,4.0,4.0,,,9.5
Hanoi,80.0,,,,,,Have certificate,,10.0
Others,120.0,,,2.0,3.0,3.0,,,3.1
Others,82.5,,15.5,4.0,4.0,3.0,,,5.71
Hanoi,52.0,4.0,3.0,4.0,4.0,4.0,,,6.5
Hanoi,45.0,6.0,3.0,4.0,4.0,4.0,Have certificate,,7.65
Others,200.0,10.0,13.0,2.0,3.0,3.0,Sale contract,,5.6
Hanoi,120.0,,,3.0,4.0,3.0,,,8.4
Ho Chi Minh City,64.0,4.0,,3.0,4.0,3.0,Have certificate,,4.7
Hanoi,50.0,3.7,3.5,5.0,7.0,6.0,Have certificate,,8.9
Hanoi,36.0,7.0,3.0,5.0,3.0,4.0,Have certificate,Full,5.6
Others,368.0,,,,,,,,6.3
Others,88.0,,,4.0,,,,,6.6
Ho Chi Minh City,156.0,,,2.0,,,Sale contract,,7.8
Hanoi,99.4,4.0,,2.0,,2.0,Have certificate,Full,9.5
Hanoi,33.0,,,5.0,,,Have certificate,Basic,4.95
Hanoi,100.0,,,,,,,,7.5
Hanoi,34.0,,2.0,4.0,3.0,,,Full,2.9
Ho Chi Minh City,100.0,20.0,12.0,3.0,4.0,5.0,Have certificate,Basic,6.5
Others,60.0,8.0,15.0,4.0,5.0,5.0,Have certificate,,4.5
Others,85.0,,,4.0,4.0,6.0,Have certificate,,4.2
Ho Chi Minh City,74.02,5.3,5.0,3.0,,,Have certificate,Full,2.38
Others,62.5,5.0,,5.0,,,Have certificate,,7.5
Hanoi,87.0,5.0,33.0,5.0,5.0,5.0,Have certificate,,10.0
Ho Chi Minh City,56.0,5.0,5.0,,,,,,2.7
